epoch,train_loss,val_loss,train_dice,val_dice,train_pc,val_pc
1,0.37038404382104,0.3938326364201782,0.3218061625957489,0.3384477496147156,0.8856181502342224,0.8873116374015808
2,0.0718333214774904,0.4880904069384642,0.3147157430648803,0.3174219131469726,0.8826562762260437,0.8823912143707275
3,0.0294967267590646,0.0257821618373283,0.8687379360198975,0.8575995564460754,0.9924132823944092,0.992071807384491
4,0.0204625701650249,0.0202937154387807,0.8804267048835754,0.867341935634613,0.9933878779411316,0.9929673671722412
5,0.0175457376120171,0.018288024394523,0.8788827657699585,0.8570762276649475,0.993379533290863,0.9930402636528016
6,0.0160176922224831,0.0145490420755089,0.901970624923706,0.8799722194671631,0.9946931004524232,0.9943841099739076
7,0.0147342310664547,0.0180208766781322,0.8793641924858093,0.8598297834396362,0.9931859374046326,0.9929044246673584
8,0.0138527281980509,0.058748552769819,0.701418936252594,0.6861933469772339,0.9772937893867492,0.9766435027122498
9,0.0134562240133734,0.0137089948281397,0.9095683693885804,0.887991726398468,0.9951950907707214,0.994785726070404
10,0.0124401681751326,0.1197919202101171,0.5799550414085388,0.5844111442565918,0.9603177309036256,0.9588529467582704
11,0.0125391171248381,0.2319944041415619,0.4343132078647613,0.4378404319286346,0.9287757277488708,0.928239107131958
12,0.0113834874183022,0.0585665882620836,0.7300625443458557,0.7163657546043396,0.9804030656814576,0.9800389409065248
13,0.0109252291982965,0.1509383558657045,0.4506205320358276,0.4564376473426819,0.9333710670471193,0.9324831366539
14,0.0108360767350036,0.3725241973186676,0.2985269129276275,0.3028579354286194,0.8705548644065857,0.8689942359924316
15,0.0102283475195889,0.0327081078706833,0.7919145226478577,0.7730202078819275,0.9865482449531556,0.9862629175186156
16,0.0100382600818656,0.0221992992019557,0.8676145672798157,0.8503216505050659,0.9921141266822816,0.9917340874671936
17,0.009624231807521,0.0524969938894663,0.7476683259010315,0.7276708483695984,0.9822435975074768,0.9814918041229248
18,0.009941616952185,0.2190317867732629,0.34076127409935,0.3506339192390442,0.8948712348937988,0.8942634463310242
19,0.0090278947451041,0.0129626551875328,0.9190518856048584,0.9005899429321289,0.995593786239624,0.9951334595680236
20,0.0090118785324704,0.0671675727143057,0.680950939655304,0.6594994068145752,0.977654755115509,0.9767553806304932
21,0.0088494826025899,0.0099324406426143,0.935825765132904,0.9179218411445618,0.996561884880066,0.9961652755737304
22,0.0086137649173346,0.0836355646622022,0.6728759407997131,0.6555796265602112,0.973865270614624,0.9731404781341552
23,0.008376126605728,0.0858790380384632,0.5886550545692444,0.572652280330658,0.9636505842208862,0.9634307026863098
24,0.0079339963859966,0.2177800590506942,0.3728630244731903,0.3606526851654053,0.909827470779419,0.9086787104606628
25,0.0079010222079618,0.1194287724049551,0.5439935326576233,0.5289870500564575,0.9559492468833924,0.9555944204330444
26,0.007767082494408,0.0248281169752951,0.8956475853919983,0.8698277473449707,0.994343876838684,0.9938632249832152
27,0.0075089317638311,0.1311142738194033,0.5042928457260132,0.4956340193748474,0.9466487169265748,0.9457669258117676
28,0.0073680882619421,0.0093424638341947,0.9405151009559632,0.9224733710289,0.9967319965362548,0.996284008026123
29,0.0072331047389923,0.0103104245975952,0.9436768293380736,0.9262083768844604,0.9969182014465332,0.9964274764060974
30,0.0071676878550313,0.1092591821556774,0.5636394619941711,0.543025016784668,0.9593271613121032,0.9587413668632508
31,0.0069202017111389,0.0083071415838134,0.9474687576293944,0.9302957653999328,0.997117280960083,0.9966718554496764
32,0.0070236838784705,0.0503774010875735,0.7433109283447266,0.7173764109611511,0.9814741015434264,0.9807836413383484
33,0.0067177604551195,0.0851459513147859,0.6393907070159912,0.6154060959815979,0.9702929258346558,0.9698882102966307
34,0.0066959952746832,0.0084384283032309,0.9503118991851808,0.9320477843284608,0.9973059296607972,0.9967961311340332
35,0.0065398346754989,0.1191976807367246,0.5749491453170776,0.5538565516471863,0.9607816934585572,0.96035498380661
36,0.0064027702901512,0.0689390622380864,0.713492751121521,0.6919532418251038,0.9785863161087036,0.9778006672859192
37,0.0063184161698748,0.007717876359015,0.9544014930725098,0.936574637889862,0.9975336194038392,0.9970328211784364
38,0.0062454902042067,0.1665117752814702,0.4126424789428711,0.4238731265068054,0.9213035702705384,0.920593559741974
39,0.0061006636356042,0.2208637510593608,0.4424760043621063,0.4286162555217743,0.9329083561897278,0.9327324032783508
40,0.0060668737688184,0.0694714554207618,0.6734921932220459,0.6528638005256653,0.9744898676872252,0.973789632320404
41,0.0060981581798346,0.0079748159235223,0.9546236395835876,0.9354824423789978,0.9975100755691528,0.9969092607498168
42,0.0057713871643693,0.1138158849566481,0.5635725855827332,0.5413365960121155,0.9589377045631408,0.9583017230033876
43,0.0058884837240333,0.201331438277817,0.4612291753292084,0.4455979466438293,0.9378230571746826,0.9369983673095704
